c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,class
0.239,0.708,0.436,0.587,0.565,0.552,0.215,0,1,1,0.033,0.882,0.734,0.444,0.519,0.138,0.673,0.282,0.585,0.419,0.418,0.091,0.09,0.298,1
0.435,0.619,0.398,0.606,0.364,0.521,0.095,0.165,0.828,0.83,0.167,0.627,0.768,0.556,0.528,0.124,0.752,0.309,0.611,0.518,0.515,0.526,0.18,0.333,0
0.273,0.598,0.38,0.437,0.293,0.606,0.468,0.488,0.536,0.328,0.3,0.275,0.399,0.222,0.448,0.26,0.391,0.17,0.437,0.709,0.705,0.173,0.13,0.284,0
0.175,0.747,0.316,0.346,0.392,0.618,0.478,0.473,0.518,0.269,0.133,0.529,0.429,0.556,0.468,0.138,0.327,0.16,0.421,0.656,0.652,0.738,0.237,0.289,1
0.364,0.669,0.338,0.642,0.266,0.593,0.384,0.345,0.852,0.659,0.4,0.275,0.664,0.444,0.475,0.293,0.433,0.2,0.477,0.652,0.648,0.606,0.186,0.282,0
0.182,0.768,0.259,0.229,0.499,0.653,0.63,0.437,0.385,0.211,0.133,0.431,0.387,0.222,0.441,0.145,0.137,0.105,0.335,0.599,0.597,0.689,0.212,0.277,1
0.355,0.681,0.275,0.232,0.299,0.744,0.289,0.423,0.375,0.23,0.367,0.216,0.29,0.333,0.341,0.733,0.467,0.149,0.378,0.407,0.413,0,0.07,0.206,1
0.284,0.346,0.051,0.11,0.216,1,0.471,0.501,0.25,0.041,0.433,0.02,0.058,0.111,0.042,0.893,0.106,0.007,0.033,0.777,0.787,0.78,0.277,0.063,0
0.228,0.143,0,0.108,0.146,0.992,0.445,0.508,0.259,0.031,0.433,0.039,0.064,0.111,0.007,0.806,0.086,0,0,0.896,0.906,0.787,0.286,0.021,0
0.262,0,0.089,0.12,0.256,0.961,0.512,0.501,0.247,0.049,0.433,0.039,0.093,0.222,0.004,0.969,0.101,0.001,0.005,0.89,0.9,0.697,0.257,0,0
